"Temp..C.","length_mm","length_se","dw_mg","dw_se","afdw_mg","afdw_se","Z0_ug_L","Z0_se","F_ml_mg.h","F_se","FI_mL_mg.h","FI_se","CR_ug_mg.h","CI_se","IR_ug_mg.h","IR_se","MDR_gC_gc.d","MDR_se"
19,21.2375,0.0664384113295917,12.46,0.102000816990192,10.9625,0.0894048609789572,1.3485,0.0077473113615843,19.6375,0.834733927168812,19.6375,0.834733927168812,0.013725,0.00025361962989222,0.013725,0.00025361962989222,0.03661197576081,0.000674601598687388
5.4,17.49625,0.495209162834612,8.2375,0.558030157115187,7.25125,0.49084040426126,1.0385,0.0106638993806206,25.98,0.680313412542862,25.98,0.680313412542862,0.0113875,0.000255339191426955,0.0113875,0.000255339191426955,0.0303905925551998,0.000679782846558295
1,21.9525,0.145650480603395,18.4275,0.335207491712223,16.2125,0.29592633514666,3.48675,0.0379200776853986,9.76,0.538937998907728,9.76,0.538937998907728,0.02055,0.000935970975333459,0.02055,0.000935970975333459,0.0547803025018423,0.00249707783757317
21,21.265,0.104572542604006,12.4975,0.160628647818501,10.995,0.141664215665072,1.378,0.0348640215695206,10.8775,0.191598266780609,10.8775,0.191598266780609,0.0102,0.000385681215513538,0.0102,0.000385681215513538,0.0271715156677355,0.00101423644442003
7,17.51125,0.504545604223316,8.31375,0.577797904571127,7.31625,0.508269533345041,1.021,0.00982889326715591,29.93375,0.321716890778989,29.93375,0.321716890778989,0.011675,0.000185855886950846,0.011675,0.000185855886950846,0.0310881382358945,0.000492760097992927
23,21.185,0.129204295594226,12.3725,0.19392196669451,10.8875,0.170787087236321,1.707,0.0303445492084932,18.9025,2.00033265462689,18.9025,2.00033265462689,0.019575,0.00165471233653063,0.019575,0.00165471233653063,0.0522702133968695,0.00441770346451034
4,21.915,0.162653773396131,17.1325,0.338608519040302,15.075,0.297926864627322,2.498,0.0382104915784482,16.3425,0.547415804028346,16.3425,0.547415804028346,0.0198,0.000538903207140825,0.0198,0.000538903207140825,0.0527556082675863,0.00141686376600256
15,21.2525,0.0969616547919847,12.485,0.141972708645007,10.9875,0.125770541728446,1.2855,0.0180260228558604,26.355,1.1270361203913,26.355,1.1270361203913,0.014475,0.000370458612173254,0.014475,0.000370458612173254,0.0385753829009425,0.000991587098169098
9,21.0025,0.0942376207608549,12.125,0.1383308232704,10.67,0.121706614446381,0.978,0.011667261889578,20.255,0.826958533825407,20.255,0.826958533825407,0.01,0.000308220700148449,0.01,0.000308220700148449,0.0266659329051994,0.00080390728883711
25,21.145,0.123178393668154,12.3175,0.185454116068279,10.8375,0.163953435970908,1.94625,0.0574076704369721,31.38,1.38540758142384,31.38,1.38540758142384,0.03655,0.00194084388862165,0.03655,0.00194084388862165,0.0975635771704077,0.00516261544532539
27,21.165,0.0945273329078246,12.34,0.145616505474711,10.8575,0.128182405838971,1.5935,0.00921163213913076,37.92,0.684297084605802,37.92,0.684297084605802,0.03285,0.000601906692658145,0.03285,0.000601906692658145,0.0875739795093555,0.00160292078715542
11,21.1275,0.128798534541353,12.3175,0.189257045223333,10.84,0.167145146504468,0.895,0.00421801691161459,16.5125,1.43981245161769,16.5125,1.43981245161769,0.00825,0.000395021096483044,0.00825,0.000395021096483044,0.0219776337231561,0.00105990973511489
13,21.39,0.101591502269301,12.6925,0.153763549538461,11.17,0.135968746408871,1.047,0.0228126426936176,22.4775,1.89070134143391,22.4775,1.89070134143391,0.012425,0.000806839254953137,0.012425,0.000806839254953137,0.0331675581252451,0.00212910764923877
2,22.4475,0.216298164193165,19.6225,0.547659318524452,17.27,0.482044257995743,1.255,0.0278709825206552,5.3525,0.880904778717125,5.3525,0.880904778717125,0.0048,0.00064839545546423,0.0048,0.00064839545546423,0.0127954840240628,0.0017155046420475
17,21.15,0.0790569415042095,12.335,0.112129017951049,10.855,0.0985414464409096,1.1205,0.0273895509273153,20.355,1.08328301165177,20.355,1.08328301165177,0.01175,0.000581843335157039,0.01175,0.000581843335157039,0.0313371482862627,0.00155536914728784
